text,date,rating,neg,neu,pos,compound,brand
"When checking out yesterday at Quality SuperValu, Seagrapes Plaza, Prince Charles Dr., the Cashier, McDonald, told me they no longer accept phone numbers to credit the Upfont Shopper app. Since when?...See more",2025-10-04 15:09:44+00:00,,0.122,0.806,0.072,-0.1984,SuperValu
"The Poor State of SuperValu in Sutton, Dublin 13

Most SuperValu stores in Ireland are independently owned and operate as franchisees. Not this one and it shows! SuperValu Sutton is wholly owned by...See more",2024-05-05 00:22:34+00:00,,0.093,0.907,0.0,-0.5255,SuperValu
"I ordered a birthday cake with
First name and date for collection on 29 / 09 / 25 from Super value in Finglas Dublin, upon calling in to collect item as arranged with bakery over a week before, I fou...See more",2025-09-29 19:35:13+00:00,,0.0,0.861,0.139,0.743,SuperValu
"I’ve been to SuperValu in Walkinstown several times and overall, I really like the store. They have a great selection of fresh bakery items, meats, and vegetables. The store is always clean, well...See more",2025-05-14 22:31:18+00:00,,0.0,0.716,0.284,0.8977,SuperValu
Delivery expected almost 24 hours ago. Customer service have no way to contact the van drivers and there is no phone number for the store I ordered from. Was told to email the company after 9 pm if de...See more,2025-10-10 14:56:06+00:00,,0.132,0.868,0.0,-0.5606,SuperValu
"Supervalu Lusk has disgraceful customer service. I bought profiteroles which were very much gone off... Ruined my evening as I had guessed calling over for dinner. Called around the next day,spoke wit...See more",2025-09-02 12:42:41+00:00,,0.087,0.871,0.042,-0.3818,SuperValu
"Review relates to Supervalu, Grange, Cork. On positive notes, their checkout staff are absolutely lovely to deal with!
Also their autism specific shopping hours are great.
Negative points: Se...See more",2025-09-22 12:53:05+00:00,,0.089,0.622,0.289,0.855,SuperValu
"SuperValu Churchtown,  13 Braemor Road, Dublin 14.
Disgraceful attitude from Management here particularly Maurice  McLaughlin , 5 weeks and not even a reply, Avoid the Grapes they come with Pen Knife...See more",2025-09-28 01:44:58+00:00,,0.066,0.934,0.0,-0.296,SuperValu
"Overcharged again bought item from nearly fresh section for 2 reduced from 4 charged 2 for item then charged 4 as well for items item that should have cost me 2 cost me 6,3rd time I have been overchar...See more",2025-05-28 18:20:13+00:00,,0.082,0.818,0.1,0.2023,SuperValu
"Visited Supervalue Ranelagh- as a local I had not been there for a while.  Was genuinely shocked at how unkept and unclean the shop was, how stale the fresh produce looked, how limited the variety wa...See more",2025-03-31 19:46:28+00:00,,0.104,0.84,0.057,-0.2263,SuperValu
Done a Homeinsurance from SuperValu via an email and put all my details etc in and received a quote for 431€ plus as an additional 15% off for smoke alarms or mortice locks. Rang up to get my deal don...See more,2025-04-26 00:00:05+00:00,,0.05,0.95,0.0,-0.2732,SuperValu
"In their car park - Balbriggan, I damaged my car tyre in a jar near the recycling bins they have over there on those marked car parking spaces, so be careful when you are using their car park as they...See more",2025-03-13 18:26:31+00:00,,0.066,0.891,0.043,-0.2551,SuperValu
"This weeks pricing from Supervalu, Organic beef pieces advertised at €5.99, scan at €6.99.
The manager doesn't believe that this is a scam ! But thanks for telling me. Great, customer care at work....See more",2025-06-05 17:09:07+00:00,,0.05,0.653,0.297,0.9293,SuperValu
"I am writing this about my experience with dealing with Musgraves - registered owners of SuperValue . I sent an email last September 2024 with my concerns , They informed me that they forwarded my con...See more",2025-04-13 15:30:05+00:00,,0.0,1.0,0.0,0.0,SuperValu
"Car insurance scammers
I insured my car in July, paid premium in full. Rang them to change my address and they informed me my policy was cancelled as never received paperwork despite me having a mess...See more",2024-12-04 14:49:20+00:00,,0.053,0.947,0.0,-0.25,SuperValu
"Discrimination on race & gender mysoginistics & narcissists. They think they are special because they have supermarkets around the country but truth be told when you are a bit different than them, the...See more",2024-11-12 11:40:06+00:00,,0.0,0.87,0.13,0.5859,SuperValu
I wish their self checkout had as good technology as Tesco have. I enjoy shopping there but the queues at self checkout are ridiculous.  Why have staff to check you out unless you are a rescan  or hav...See more,2025-08-23 17:00:28+00:00,,0.074,0.793,0.134,0.1655,SuperValu
"SuperValu sent out text offer to buy 2 x packs of Rockshore for €25 starting today, Thursday 10th Dec. Arrived at 10am to procure offer, unaware that drink couldn't be sold until 10.30. There was no...See more",2020-12-10 18:47:39+00:00,,0.048,0.952,0.0,-0.2023,SuperValu
Disaster!!! They don’t answer phones. Castletroy management very ignorant to deal with. Item missing from order and couldn’t care less. Cleaning products put in with food items. Never again.,2025-07-05 11:59:15+00:00,,0.253,0.662,0.085,-0.7483,SuperValu
"Ordered online for a 1pm to 2pm delivery but it didnt show up u til 3.15pm, when ring to find out whats going on nobody answered the phone after 4 times trying i emailed and they still didnt care much...See more",2024-11-01 18:49:28+00:00,,0.079,0.921,0.0,-0.5334,SuperValu
"Last time ordering. “ click and collect “ because I had the baby with me. No option to “ click” had to go inside with my baby and wait around ages , then was left with a trolley and about ten bags and...See more",2025-09-27 18:49:19+00:00,,0.049,0.951,0.0,-0.296,SuperValu
"If I could give zero I would !
I was sold a household insurance policy with subsidence cover.
 Today I received my renewal form which don't include 
subsidence.
I phone supervalu up , only to...See more",2025-01-09 19:11:16+00:00,,0.0,1.0,0.0,0.0,SuperValu
I have comprehensive insurance with supervalue/ Axa I was surprised when I broke down that it didn't cover breakdown. It was included when I first insured with them then sometime between renewals it w...See more,2025-02-04 22:14:24+00:00,,0.072,0.827,0.101,0.0258,SuperValu
"Yesterday, 22.9.'25 I placed an online order for over €100 with SuperValu Churchtown and chose a delivery slot of 5-7 pm. When the order hadnt arrived by 8 pm I rang Customer Service who said they...See more",2025-09-23 15:30:05+00:00,,0.0,1.0,0.0,0.0,SuperValu
"Shopped in the Birr store on the 2nd of May. A female customer whose first language was not English was looking for help. The way a female member of staff spoke to her, and to other customers loudly i...See more",2025-05-03 02:30:33+00:00,,0.0,0.935,0.065,0.4019,SuperValu
"Home delivery is terrible. This is the 2nd time in a month that I ordered online for home delivery. They provided a 2 hour window, but simply did not not turn up. I tried to call the store in Ballinte...See more",2024-12-02 13:16:17+00:00,,0.049,0.951,0.0,-0.2617,SuperValu
"STAY AWAY from Supervalu BLANCHARDSTOWN VILLAGE. 
It is not safe! They will CLAMP your car 5 min EARLIER than notice permitted (3 hours). 
Then, after you paid, you will wait for declamping ove...See more",2024-11-08 11:13:13+00:00,,0.076,0.924,0.0,-0.4015,SuperValu
"I have just been in supervalu walkinstown and can't believe what I saw. A staff member serving on the deli stuffing food into her mouth, picking her fingers with gloves on and then going straight to s...See more",2025-01-03 15:33:21+00:00,,0.0,0.951,0.049,0.2263,SuperValu
On my first order after signing up for home delivery from the Westport branch I was overcharged €56. Three calls to online customer service only gets a repeat response (we have contacted the Westpor...See more,2025-01-03 17:12:59+00:00,,0.0,1.0,0.0,0.0,SuperValu
Just got hot food nd stuff and they charge me 4euro for a small plain butter roll with nothing in it nd label said 1 salad filling.... sick of them over charging me all the time robbers not the first...See more,2024-10-13 11:30:38+00:00,,0.076,0.924,0.0,-0.5106,SuperValu
Trying to get through to bakery section in castletroy limerick for the whole day to order a birthday cake ..no one picking up.got through to customer service who to be fair seemed like she was walking...See more,2025-06-26 18:27:29+00:00,,0.0,0.879,0.121,0.5859,SuperValu
"Supervalu Walkinstown is worth avoiding,  no small trolleys, apparently they only have 6 small ones as the rest have been stolen.  Shop is badly stocked, is not very clean. Supercan till is a joke. As...See more",2024-11-15 16:58:05+00:00,,0.288,0.624,0.088,-0.851,SuperValu
"SuperValu, Sutton, Dublin 13...... Most SuperValu stores in Ireland are independently owned and operate as franchisees. Not this one and it shows! SuperValu Sutton is wholly owned by the Cork based wh...See more",2025-01-01 22:01:02+00:00,,0.0,1.0,0.0,0.0,SuperValu
"You can shove your plastic-packed ripe-for-the-picking strawberries up your arse. ""As nature intended"", what a farce. You are a disgrace. I used to love supervalu. Now, you're no better than that othe...See more",2025-06-04 23:36:04+00:00,,0.2,0.699,0.101,-0.4777,SuperValu
Live in Donabate and to my greatest despair is the fact that we only have one supermarket which is Supervalu. I don't go into it anymore I send my poor suffering husband in my place. I do the bulk of...See more,2024-07-28 22:26:10+00:00,,0.171,0.744,0.085,-0.5106,SuperValu
Sutton SuperValu some of the most unfriendly and unhelpful staff I have ever encountered.  You leave the store with a heavy heart and annoyed. Store has changed alot over the years.,2025-08-26 16:28:45+00:00,,0.174,0.714,0.111,-0.101,SuperValu
"SuperValue Barna Galway. Yet again the Return bins are full. On making shop aware on a quiet evening- answer is ‘we don’t have the staff’
Well don’t participate then. I dont have the time to drive do...See more",2025-06-04 20:38:00+00:00,,0.0,0.946,0.054,0.2732,SuperValu
McLoughlin's SuperValu Portarlington. The management is not aware of the Country's Alcohol selling time on a Bank Holiday like today (05/08/204 10:43 AM). It's a shame that the management are not give...See more,2024-08-05 12:45:58+00:00,,0.081,0.783,0.136,0.2732,SuperValu
Got some cakes from the bakery that still had a few days left before expiring and I bit in to one to find is was absolutely filled with mold as was many others they quite literally put icing over the...See more,2025-06-23 03:26:33+00:00,,0.0,1.0,0.0,0.0,SuperValu
As usual the sale price did not come up at the till (pancake mix).. then had to queue at customer service for refund which I realised later was less then it should be !,2025-04-27 22:59:10+00:00,,0.0,1.0,0.0,0.0,SuperValu
"Magnum ice creams on offer 2 for €6, great except that they scan at the till for €5.15. I ask a member of staff to help and she goes to look, comes back to tell that the 'mint' ice cream is not inclu...See more",2025-05-22 18:24:06+00:00,,0.0,0.861,0.139,0.7783,SuperValu
Their pricing is a disgrace. Their customer service is awful. The shops are extremely messy. Used to be a great store and has goner downhill,2025-06-24 20:42:30+00:00,,0.264,0.616,0.12,-0.5984,SuperValu
Was in this store and was absolutely gobsmacked at the way Matthew in the deli in the Kinsale store spoke to one of the staff in there. Think her name was Theresa or Tracy. It looks to me like he is a...See more,2025-05-14 21:23:47+00:00,,0.0,0.944,0.056,0.3612,SuperValu
"Hi
   Super value not giving properly prices for example I got sandwich biscuits 2.50e .I scan my Clubcard 3.50e on receipt. Its happen a lot in that Northside Shopping Centre breach. They not putti...See more",2025-05-13 15:33:11+00:00,,0.05,0.793,0.156,0.6444,SuperValu
Delhi Staff at counters excellent. Not all staff eager to help. PRICING is the problem. Prices are very expensive overall. Delhi very expensive here when foodstuffs are sold by weight - (an increasing...See more,2025-06-21 16:20:02+00:00,,0.117,0.728,0.155,0.3798,SuperValu
"Had home delivery that was nearly 4 hours late, I contacted customer service a week ago and still no reply from the weasel manager at Westport SuperValu. No customer respect here. Would b 0 stars if had a option.",2025-10-12 17:56:06+00:00,1.0,0.162,0.838,0.0,-0.7144,SuperValu
"Delivery expected almost 24 hours ago. Customer service have no way to contact the van drivers and there is no phone number for the store I ordered from. Was told to email the company after 9 pm if delivery hadn't arrived and still haven't had a response to that. The van driver was yards from my house last night but didn't read the delivery instructions and turned off the road I live on then decided to abandon the delivery. It is past lunchtime the day after and I am still awaiting my delivery. Unwell and unable to go to the store and absolutely starving now. I will never ever use Supervalu again, there is a complete lack of communication with customers and the delivery isn't the cheapest either.",2025-10-10 14:56:06+00:00,1.0,0.111,0.889,0.0,-0.9224,SuperValu
"Was passing through Monaghan as I was on my way to Donegal and I decided to go into the store with  one of my mates. I met a lovely gentleman called Jacob who was able to help me find out where the bread was. Great service from the shop. The store is slightly small, but overall a nice atmosphere.",2025-10-09 22:28:12+00:00,5.0,0.0,0.84,0.16,0.8591,SuperValu
"When checking out yesterday at Quality SuperValu, Seagrapes Plaza, Prince Charles Dr., the Cashier, McDonald, told me they no longer accept phone numbers to credit the Upfont Shopper app. Since when? Customers should not be blind sided and nothing posted to confirm this. Technology is suppose to be more efficient not less.",2025-10-04 15:09:44+00:00,2.0,0.074,0.792,0.134,0.5525,SuperValu
"I ordered a birthday cake withFirst name and date for collection on 29 / 09 / 25 from Super value in Finglas Dublin, upon calling in to collect item as arranged with bakery over a week before, I found a vacancy at bakery counter with no staff member available to deal with and eventually an error with same, I requested and received a refund, Very disappointing experience, There may be a problem with staffing in this branch, John Mc Cormack, 29/ 09 / 2025.",2025-09-29 19:35:13+00:00,2.0,0.116,0.818,0.066,-0.5849,SuperValu
"SuperValu Churchtown,  13 Braemor Road, Dublin 14.Disgraceful attitude from Management here particularly Maurice  McLaughlin , 5 weeks and not even a reply, Avoid the Grapes they come with Pen Knifes…",2025-09-28 01:44:58+00:00,1.0,0.071,0.929,0.0,-0.296,SuperValu
"Last time ordering. “ click and collect “ because I had the baby with me. No option to “ click” had to go inside with my baby and wait around ages , then was left with a trolley and about ten bags and the child. Not even a bit of help to bring to the car 🤢 charged an extra €15 than I agreed to. Ordered 500 g lamb and gave me 1 kg and charged me for it ( will go to waste )!! All the fruit I paid €10 for gone off and black. Chicken gone off before I even opened it , paid €5 for 2 packs and only received one !!! Disgusting carry on and robbing people blind. Won’t step foot in supervalu again after this. Short dates on everything also.",2025-09-27 18:49:19+00:00,1.0,0.107,0.861,0.032,-0.877,SuperValu
"Yesterday, 22.9.'25 I placed an online order for over €100 with SuperValu Churchtown and chose a delivery slot of 5-7 pm. When the order hadnt arrived by 8 pm I rang Customer Service who said they would pass on the message. I did not receive a phone call so I tried to contact the store by phone. However, after a brief recorded message suggesting a visit to the website the line dropped (twice). I then made contact through a bot on the website which eventually reported that the message would be passed on.This morning I received an email from SuperValu apologising for a ' a miscommunication within our department' and asking what time would suit for delivery and offering a refund of the €7 delivery charge.  As I happened to be home this morning I requested 11-12.  The delivery arrived well after 12 and I noted from their delivery note that the original time of 5-7 pm had been changed to 12-2 pm today!!The baguette and scones included in the order were intended for a person who is ill but had to be discarded due to the fact that they were not fresh. Perhaps I'm mistaken but it appears to me that the delivery had been chilled overnight which couldhave caused that.I have always found that shopping physically in that store is a pleasure but would not even consider online ordering from SuperValu Churchtown again.",2025-09-23 15:30:05+00:00,1.0,0.046,0.917,0.038,-0.4455,SuperValu
"Review relates to Supervalu, Grange, Cork. On positive notes, their checkout staff are absolutely lovely to deal with!Also their autism specific shopping hours are great.Negative points: Self checkouts are extremely frustrating to use.. Not once have I ever scanned a full shop without waiting around for staff due to errors on these machines! Several times, there's been no staff around these machines to help.I've had issues processing my card where the machine emits deafening beep sound that are audible all around the store!! very embarrassing!!Second issue is their price labelling. Price labels are mixed up, obscurely labelled and unclear.For example a 2euro price tag below 6 euro items.The 2 and 6 euro tags are for the same pizza brand have almost identical descriptions.This is an issue all across the store, and I feel it's done intentionally as a tactic to get customers to inadvertently purchase more expensive items...How difficult is it to align the price tags with the correct products??",2025-09-22 12:53:05+00:00,3.0,0.082,0.874,0.044,-0.68,SuperValu
"Supervalu Lusk has disgraceful customer service. I bought profiteroles which were very much gone off... Ruined my evening as I had guessed calling over for dinner. Called around the next day,spoke with the assistant manager and she would not offer my compensation saying that's something supervalu do not do. I definitely won't be back",2025-09-02 12:42:41+00:00,1.0,0.093,0.881,0.026,-0.5938,SuperValu
Sutton SuperValu some of the most unfriendly and unhelpful staff I have ever encountered.  You leave the store with a heavy heart and annoyed. Store has changed alot over the years.,2025-08-26 16:28:45+00:00,1.0,0.174,0.714,0.111,-0.101,SuperValu
I wish their self checkout had as good technology as Tesco have. I enjoy shopping there but the queues at self checkout are ridiculous.  Why have staff to check you out unless you are a rescan  or have alcohol in your shop. Tesco in your only man to avoid queues,2025-08-23 17:00:28+00:00,3.0,0.106,0.79,0.104,-0.2846,SuperValu
Disaster!!! They don’t answer phones. Castletroy management very ignorant to deal with. Item missing from order and couldn’t care less. Cleaning products put in with food items. Never again.,2025-07-05 11:59:15+00:00,1.0,0.253,0.662,0.085,-0.7483,SuperValu
I would like to sent a big thank you to your branch store manager Erick Rafferty Churchurch  I fond him be so friendly helpful and very efficient. I would also like to pass on my thank to the young gentleman Tim he works in the office licences department,2025-06-30 15:43:56+00:00,5.0,0.0,0.633,0.367,0.969,SuperValu
Trying to get through to bakery section in castletroy limerick for the whole day to order a birthday cake ..no one picking up.got through to customer service who to be fair seemed like she was walking over there to see .told me not to ring back and they would ring me within 5 minutes....2 hours passed ..guess what..no call...nobodys running the show,2025-06-26 18:27:29+00:00,1.0,0.0,0.926,0.074,0.5859,SuperValu
Their pricing is a disgrace. Their customer service is awful. The shops are extremely messy. Used to be a great store and has goner downhill,2025-06-24 20:42:30+00:00,1.0,0.264,0.616,0.12,-0.5984,SuperValu
Got some cakes from the bakery that still had a few days left before expiring and I bit in to one to find is was absolutely filled with mold as was many others they quite literally put icing over the mold,2025-06-23 03:26:33+00:00,1.0,0.0,1.0,0.0,0.0,SuperValu
"Delhi Staff at counters excellent. Not all staff eager to help. PRICING is the problem. Prices are very expensive overall. Delhi very expensive here when foodstuffs are sold by weight - (an increasing trend in some Irish supermarkets that has increased prices overall !!!). In a time when grocery prices have increased nationally, this Supervalu is expensive compared to the other supermarkets in Charleville and further afield. Adds up over time........",2025-06-21 16:20:02+00:00,2.0,0.059,0.8,0.141,0.7695,SuperValu
Rotten carrots that look ok in bag until you open it. This has been going on for months. Bought Broccoli that was put out fresh in plastic today and when i opened it full of mould. Took photo. This has happened a lot.Cant buy veg in there any more.,2025-06-17 16:42:05+00:00,2.0,0.061,0.855,0.084,0.0516,SuperValu
Checkout operator sneezed into hand & continued to take guns and hand out receipts to customers Sutton June 13 2025,2025-06-15 11:27:15+00:00,1.0,0.0,0.738,0.262,0.7506,SuperValu
